"FND_APP_FLEX_VALUE_SET.ValueSetCode","Value","IndependentValue","IndependentValueNumber","IndependentValueDate","IndependentValueTimestamp","ValueNumber","ValueDate","ValueTimestamp","TranslatedValue","Description","EnabledFlag","StartDateActive","EndDateActive","SummaryFlag","FlexValueAttribute1","FlexValueAttribute2","FlexValueAttribute3","FlexValueAttribute4","FlexValueAttribute5","FlexValueAttribute6","SortOrder","ExternalDataSource","CreationDate","CreatedBy","LastUpdateDate","LastUpdatedBy","LastUpdateLogin"
"FED_LEGAL_AUTH","ABM","107","","","","","","","","SF 59 APPROVED (DATE)","Y","","","","","","","","","","","","2022/02/17 17:12:44.477","CUSTOMIZED_USER","2022/02/17 17:14:26.186","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ACM","107","","","","","","","","CS CERT NO","Y","","","","","","","","","","","","2022/02/17 17:12:44.504","CUSTOMIZED_USER","2022/02/17 17:14:26.32","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ALM","107","","","","","","","","MSPB DIRECTIVE-US","Y","","","","","","","","","","","","2022/02/17 17:12:44.531","CUSTOMIZED_USER","2022/02/17 17:14:26.459","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","AQM","107","","","","","","","","MSPB DIRECTIVE - INJ","Y","","","","","","","","","","","","2022/02/17 17:12:44.558","CUSTOMIZED_USER","2022/02/17 17:14:26.594","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BWA","107","","","","","","","","OPM DE Agr (enter #).","Y","","","","","","","","","","","","2022/02/17 17:12:44.584","CUSTOMIZED_USER","2022/02/17 17:14:26.754","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BWM","107","","","","","","","","OPM DELEGATION AGR","Y","","","","","","","","","","","","2022/02/17 17:12:44.611","CUSTOMIZED_USER","2022/02/17 17:14:26.9","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","HAM","107","","","","","","","","REG 250.101. ACTION REQUIRED BY A DECISION.","Y","","","","","","","","","","","","2022/02/17 17:12:44.637","CUSTOMIZED_USER","2022/02/17 17:14:27.046","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","HDM","107","","","","","","","","REG 230.402(C). EMERGENCY APPT--OUTSIDE THE REGISTER.","Y","","","","","","","","","","","","2022/02/17 17:12:44.662","CUSTOMIZED_USER","2022/02/17 17:14:27.19","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","HGM","107","","","","","","","","REG 230.402(D)(1). EMERGENCY APPT-NONCOMP/STANDBY BASIS","Y","","","","","","","","","","","","2022/02/17 17:12:44.689","CUSTOMIZED_USER","2022/02/17 17:14:27.329","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","HJM","107","","","","","","","","REG 230.402(D)(2). EMERGENCY APPT-NONCOMP/DEF EXEC RES.","Y","","","","","","","","","","","","2022/02/17 17:12:44.716","CUSTOMIZED_USER","2022/02/17 17:14:27.467","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","HLM","107","","","","","","","","REG 230.402(D)(3). EMERGENCY APPT--REINSTATEMENT ELIG.","Y","","","","","","","","","","","","2022/02/17 17:12:44.744","CUSTOMIZED_USER","2022/02/17 17:14:27.607","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","QAK","107","","","","","","","","REG 353.207. RESTORATION AFTER MILITARY SERVICE.","Y","","","","","","","","","","","","2022/02/17 17:12:44.771","CUSTOMIZED_USER","2022/02/17 17:14:27.748","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","QBK","107","","","","","","","","REG 353.301. RESTORATION AFTER RECOVERY FROM INJURY.","Y","","","","","","","","","","","","2022/02/17 17:12:44.798","CUSTOMIZED_USER","2022/02/17 17:14:27.88","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","QCK","107","","","","","","","","REG 353.304(D). RESTORATION AFTER PARTIAL RECOVERY.","Y","","","","","","","","","","","","2022/02/17 17:12:44.824","CUSTOMIZED_USER","2022/02/17 17:14:28.019","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","V1P","107","","","","","","","","5 U.S.C. 5371.  38 U.S.C. PAY.","Y","","","","","","","","","","","","2022/02/17 17:12:44.852","CUSTOMIZED_USER","2022/02/17 17:14:28.154","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","V8N","107","","","","","","","","32 U.S.C. 709.  National Guard tech--comp svc.  Code is only for use by the Air National Guard (Department of the Air Force) and Army National Gu","Y","","","","","","","","","","","","2022/02/17 17:12:44.879","CUSTOMIZED_USER","2022/02/17 17:14:28.291","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","Z2U","107","","","","","","","","P.L. 103-337.  Defense Lab Demo.  Code is for use by the Department of the Air Force, Department of the Army, Department of Defense, and Departme","Y","","","","","","","","","","","","2022/02/17 17:12:44.907","CUSTOMIZED_USER","2022/02/17 17:14:28.433","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZLM","107","","","","","","","","OTHER CITATION (LAW, E.O., REG)","Y","","","","","","","","","","","","2022/02/17 17:12:44.936","CUSTOMIZED_USER","2022/02/17 17:14:28.573","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZRM","107","","","","","","","","AGENCY RESTORATION AUTHORITY","Y","","","","","","","","","","","","2022/02/17 17:12:44.964","CUSTOMIZED_USER","2022/02/17 17:14:28.713","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZSK","107","","","","","","","","P.L. 99-145, AS AMENDED. SPOUSE PREF--DOD.","Y","","","","","","","","","","","","2022/02/17 17:12:44.993","CUSTOMIZED_USER","2022/02/17 17:14:28.906","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ABK","108","","","","","","","","ACWA OUTSTANDING SCHOLAR PROGRAM","Y","","","","","","","","","","","","2022/02/17 17:12:45.021","CUSTOMIZED_USER","2022/02/17 17:14:29.074","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ABL","108","","","","","","","","BICULTURAL/BILINGUAL SELECTIVE FACTORS","Y","","","","","","","","","","","","2022/02/17 17:12:45.05","CUSTOMIZED_USER","2022/02/17 17:14:29.571","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ABM","108","","","","","","","","SF 59 APPROVED (DATE)","Y","","","","","","","","","","","","2022/02/17 17:12:45.079","CUSTOMIZED_USER","2022/02/17 17:14:29.702","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ACM","108","","","","","","","","CS CERT NO","Y","","","","","","","","","","","","2022/02/17 17:12:45.107","CUSTOMIZED_USER","2022/02/17 17:14:29.835","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ALM","108","","","","","","","","MSPB DIRECTIVE-US","Y","","","","","","","","","","","","2022/02/17 17:12:45.135","CUSTOMIZED_USER","2022/02/17 17:14:29.966","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","AYM","108","","","","","","","","DIRECT-HIRE AUTHORITY (CITE OPM AUTHORITY AND DATE)","Y","","","","","","","","","","","","2022/02/17 17:12:45.164","CUSTOMIZED_USER","2022/02/17 17:14:30.103","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BAB","108","","","","","","","","GW001 (MED).  DIRECT HIRE/MEDICAL OCCUPATIONS","Y","","","","","","","","","","","","2022/02/17 17:12:45.191","CUSTOMIZED_USER","2022/02/17 17:14:30.239","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BAC","108","","","","","","","","GW002 (IT).  DIRECT HIRE/INFO TECH MGMT.","Y","","","","","","","","","","","","2022/02/17 17:12:45.218","CUSTOMIZED_USER","2022/02/17 17:14:30.375","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BAD","108","","","","","","","","GW003 (IRAQI).  DIRECT HIRE/IRAQI RECONSTR EFFORTS.","Y","","","","","","","","","","","","2022/02/17 17:12:45.249","CUSTOMIZED_USER","2022/02/17 17:14:30.506","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BDN","108","","","","","","","","USDA Demo, (office issuing cert), Cert No (no). Code is for use by the Department of Agriculture only.","Y","","","","","","","","","","","","2022/02/17 17:12:45.277","CUSTOMIZED_USER","2022/02/17 17:14:30.647","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BNZ","108","","","","","","","","CS RULE 6.7. CORP FOR NAT'L AND COMMUNITY SVC AGR","Y","","","","","","","","","","","","2022/02/17 17:12:45.306","CUSTOMIZED_USER","2022/02/17 17:14:30.781","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BWA","108","","","","","","","","OPM DE Agr (enter #).","Y","","","","","","","","","","","","2022/02/17 17:12:45.335","CUSTOMIZED_USER","2022/02/17 17:14:30.919","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BWM","108","","","","","","","","OPM DELEGATION AGR","Y","","","","","","","","","","","","2022/02/17 17:12:45.367","CUSTOMIZED_USER","2022/02/17 17:14:31.047","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BYO","108","","","","","","","","Cite the Single Agency Authority that was Approved by OPM","Y","","","","","","","","","","","","2022/02/17 17:12:45.397","CUSTOMIZED_USER","2022/02/17 17:14:31.185","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","HAM","108","","","","","","","","REG 250.101. ACTION REQUIRED BY A DECISION.","Y","","","","","","","","","","","","2022/02/17 17:12:45.424","CUSTOMIZED_USER","2022/02/17 17:14:31.327","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MAB","108","","","","","","","","Reg. 362.107(a) - Intern. Term Appt after Internship.","Y","","","","","","","","","","","","2022/02/17 17:12:45.451","CUSTOMIZED_USER","2022/02/17 17:14:31.474","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MAC","108","","","","","","","","Reg. 362.107(a) - RG. Term Appt after RG","Y","","","","","","","","","","","","2022/02/17 17:12:45.484","CUSTOMIZED_USER","2022/02/17 17:14:31.608","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MAF","108","","","","","","","","Reg. 362.107(a) - PMF.  Term App After PMF.","Y","","","","","","","","","","","","2022/02/17 17:12:45.516","CUSTOMIZED_USER","2022/02/17 17:14:31.773","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MCM","108","","","","","","","","REG 316.302(B). TERM APPT OUTSIDE THE REGISTER.","Y","","","","","","","","","","","","2022/02/17 17:12:45.548","CUSTOMIZED_USER","2022/02/17 17:14:31.939","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MEM","108","","","","","","","","REG 316.302(B)(1) OR AGY AUTH. TERM APPT (REINST ELIG).","Y","","","","","","","","","","","","2022/02/17 17:12:45.581","CUSTOMIZED_USER","2022/02/17 17:14:32.09","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MGM","108","","","","","","","","REG 316.302(B)(2). TERM APPT (VRA ELIGIBILITY).","Y","","","","","","","","","","","","2022/02/17 17:12:45.613","CUSTOMIZED_USER","2022/02/17 17:14:32.25","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MJM","108","","","","","","","","REG 316.302(B)(3). TERM APPT (PRIOR SERVICE).","Y","","","","","","","","","","","","2022/02/17 17:12:45.645","CUSTOMIZED_USER","2022/02/17 17:14:32.436","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MLK","108","","","","","","","","REG 316.302(B)(8). TERM APPT (FORMER TEMP EMPLOYEE).","Y","","","","","","","","","","","","2022/02/17 17:12:45.68","CUSTOMIZED_USER","2022/02/17 17:14:32.589","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MLM","108","","","","","","","","REG 316.302(B)(7). TERM APPT (PRIOR TERM APPT).","Y","","","","","","","","","","","","2022/02/17 17:12:45.714","CUSTOMIZED_USER","2022/02/17 17:14:32.749","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MMM","108","","","","","","","","REG 316.302(B)(4). TERM APPT (30%+ DISABLED VET).","Y","","","","","","","","","","","","2022/02/17 17:12:45.745","CUSTOMIZED_USER","2022/02/17 17:14:32.895","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","QAK","108","","","","","","","","REG 353.207. RESTORATION AFTER MILITARY SERVICE.","Y","","","","","","","","","","","","2022/02/17 17:12:45.782","CUSTOMIZED_USER","2022/02/17 17:14:33.057","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","UDM","108","","","","","","","","P.L. 107-296, SEC.1115 For Use by Department of Justice/ATF and Department of Treasury/Tax and Trade Bureau.","Y","","","","","","","","","","","","2022/02/17 17:12:45.814","CUSTOMIZED_USER","2022/02/17 17:14:33.2","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","V1P","108","","","","","","","","5 U.S.C. 5371.  38 U.S.C. PAY.","Y","","","","","","","","","","","","2022/02/17 17:12:45.846","CUSTOMIZED_USER","2022/02/17 17:14:33.348","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","V8L","108","","","","","","","","39 U.S.C. 1006. REEMPLOYMENT BASED ON POSTAL SERVICE.","Y","","","","","","","","","","","","2022/02/17 17:12:45.877","CUSTOMIZED_USER","2022/02/17 17:14:33.507","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","V8N","108","","","","","","","","32 U.S.C. 709.  National Guard tech--comp svc.  Code is only for use by the Air National Guard (Department of the Air Force) and Army National Gu","Y","","","","","","","","","","","","2022/02/17 17:12:45.907","CUSTOMIZED_USER","2022/02/17 17:14:33.668","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","VGL","108","","","","","","","","5 U.S.C. 4703. DEMO PROJECTS.","Y","","","","","","","","","","","","2022/02/17 17:12:45.956","CUSTOMIZED_USER","2022/02/17 17:14:33.821","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","VJM","108","","","","","","","","5 U.S.C. 3325. APPT TO SCI/PROF POSITIONS.","Y","","","","","","","","","","","","2022/02/17 17:12:46.005","CUSTOMIZED_USER","2022/02/17 17:14:33.992","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","Z2U","108","","","","","","","","P.L. 103-337.  Defense Lab Demo.  Code is for use by the Department of the Air Force, Department of the Army, Department of Defense, and Departme","Y","","","","","","","","","","","","2022/02/17 17:12:46.052","CUSTOMIZED_USER","2022/02/17 17:14:34.162","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","Z2W","108","","","","","","","","P.L. 104-106.  Defense Acquisition Demo.  Code is for use by the Department of the Air Force, Department of the Army, Department of Defense, and","Y","","","","","","","","","","","","2022/02/17 17:12:46.089","CUSTOMIZED_USER","2022/02/17 17:14:34.337","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","Z4J","108","","","","","","","","P.L. 108-201, Sec. 9806 (critical).  Term Appt NTE.  Code is for use by the National Aeronautics and Space Administration only.","Y","","","","","","","","","","","","2022/02/17 17:12:46.122","CUSTOMIZED_USER","2022/02/17 17:14:34.481","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","Z4K","108","","","","","","","","P.L. 108-201, Sec. 9806.  Term Appt NTE.  Code is for use by the National Aeronautics and Space Administration only.","Y","","","","","","","","","","","","2022/02/17 17:12:46.154","CUSTOMIZED_USER","2022/02/17 17:14:34.623","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","Z5C","108","","","","","","","","DIRECT-HIRE AUTHORITY (CITE DOD AUTHORITY AND DATE)","Y","","","","","","","","","","","","2022/02/17 17:12:46.197","CUSTOMIZED_USER","2022/02/17 17:14:34.774","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZJK","108","","","","","","","","EO 12721. FAMILY MEMBER NONCOMP APPT.","Y","","","","","","","","","","","","2022/02/17 17:12:46.244","CUSTOMIZED_USER","2022/02/17 17:14:34.913","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZLM","108","","","","","","","","OTHER CITATION (LAW, E.O., REG)","Y","","","","","","","","","","","","2022/02/17 17:12:46.276","CUSTOMIZED_USER","2022/02/17 17:14:35.069","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZQM","108","","","","","","","","31 U.S.C. 732(G).  BASED ON SVC WITH GAO.","Y","","","","","","","","","","","","2022/02/17 17:12:46.31","CUSTOMIZED_USER","2022/02/17 17:14:35.224","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZRM","108","","","","","","","","AGENCY RESTORATION AUTHORITY","Y","","","","","","","","","","","","2022/02/17 17:12:46.372","CUSTOMIZED_USER","2022/02/17 17:14:35.392","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZSK","108","","","","","","","","P.L. 99-145, AS AMENDED. SPOUSE PREF--DOD.","Y","","","","","","","","","","","","2022/02/17 17:12:46.408","CUSTOMIZED_USER","2022/02/17 17:14:35.544","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZSP","108","","","","","","","","P.L. 99-574, Sec. 10.  NIST demo--appts.  Code is for use by the National Institute of Standards and Technology (Department of Commerce) only.","Y","","","","","","","","","","","","2022/02/17 17:12:46.452","CUSTOMIZED_USER","2022/02/17 17:14:35.69","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ZTM","108","","","","","","","","P.L. 99-586. APPT. OF FORMER NAT'L GUARD TECH.","Y","","","","","","","","","","","","2022/02/17 17:12:46.497","CUSTOMIZED_USER","2022/02/17 17:14:35.867","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ABK","115","","","","","","","","ACWA OUTSTANDING SCHOLAR PROGRAM","Y","","","","","","","","","","","","2022/02/17 17:12:46.534","CUSTOMIZED_USER","2022/02/17 17:14:36.016","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ABL","115","","","","","","","","BICULTURAL/BILINGUAL SELECTIVE FACTORS","Y","","","","","","","","","","","","2022/02/17 17:12:46.571","CUSTOMIZED_USER","2022/02/17 17:14:36.179","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ABM","115","","","","","","","","SF 59 APPROVED (DATE)","Y","","","","","","","","","","","","2022/02/17 17:12:46.611","CUSTOMIZED_USER","2022/02/17 17:14:36.328","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ABR","115","","","","","","","","REG 330.608.  AGENCY CAREER TRANSITION PROGRAM.","Y","","","","","","","","","","","","2022/02/17 17:12:46.65","CUSTOMIZED_USER","2022/02/17 17:14:36.471","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ABS","115","","","","","","","","REG 330.708. INTERAGENCY CAREER TRANSITION PROGRAM.","Y","","","","","","","","","","","","2022/02/17 17:12:46.683","CUSTOMIZED_USER","2022/02/17 17:14:36.614","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ACM","115","","","","","","","","CS CERT NO","Y","","","","","","","","","","","","2022/02/17 17:12:46.719","CUSTOMIZED_USER","2022/02/17 17:14:36.76","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","ALM","115","","","","","","","","MSPB DIRECTIVE-US","Y","","","","","","","","","","","","2022/02/17 17:12:46.761","CUSTOMIZED_USER","2022/02/17 17:14:36.902","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","AYM","115","","","","","","","","DIRECT-HIRE AUTHORITY (CITE OPM AUTHORITY AND DATE)","Y","","","","","","","","","","","","2022/02/17 17:12:46.799","CUSTOMIZED_USER","2022/02/17 17:14:37.061","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BAB","115","","","","","","","","GW001 (MED).  DIRECT HIRE/MEDICAL OCCUPATIONS","Y","","","","","","","","","","","","2022/02/17 17:12:46.844","CUSTOMIZED_USER","2022/02/17 17:14:37.253","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BAC","115","","","","","","","","GW002 (IT).  DIRECT HIRE/INFO TECH MGMT.","Y","","","","","","","","","","","","2022/02/17 17:12:46.884","CUSTOMIZED_USER","2022/02/17 17:14:37.431","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BAD","115","","","","","","","","GW003 (IRAQI).  DIRECT HIRE/IRAQI RECONSTR EFFORTS.","Y","","","","","","","","","","","","2022/02/17 17:12:46.928","CUSTOMIZED_USER","2022/02/17 17:14:37.568","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BDN","115","","","","","","","","USDA Demo, (office issuing cert), Cert No (no). Code is for use by the Department of Agriculture only.","Y","","","","","","","","","","","","2022/02/17 17:12:46.964","CUSTOMIZED_USER","2022/02/17 17:14:37.704","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BWA","115","","","","","","","","OPM DE Agr (enter #).","Y","","","","","","","","","","","","2022/02/17 17:12:46.998","CUSTOMIZED_USER","2022/02/17 17:14:37.846","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BWM","115","","","","","","","","OPM DELEGATION AGR","Y","","","","","","","","","","","","2022/02/17 17:12:47.043","CUSTOMIZED_USER","2022/02/17 17:14:37.989","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","BYO","115","","","","","","","","Cite the Single Agency Authority that was Approved by OPM","Y","","","","","","","","","","","","2022/02/17 17:12:47.083","CUSTOMIZED_USER","2022/02/17 17:14:38.14","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","HAM","115","","","","","","","","REG 250.101. ACTION REQUIRED BY A DECISION.","Y","","","","","","","","","","","","2022/02/17 17:12:47.118","CUSTOMIZED_USER","2022/02/17 17:14:38.281","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","KLM","115","","","","","","","","REG 310.202. EMERGENCY APPT. OF RELATIVE.","Y","","","","","","","","","","","","2022/02/17 17:12:47.154","CUSTOMIZED_USER","2022/02/17 17:14:38.419","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","M6M","115","","","","","","","","REG 316.402(B)(1) OR AGY AUTH. TEMP APPT (REINST ELIG).","Y","","","","","","","","","","","","2022/02/17 17:12:47.188","CUSTOMIZED_USER","2022/02/17 17:14:38.558","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","M8M","115","","","","","","","","REG 316.402(B)(3). TEMP APPT (PRIOR SERVICE).","Y","","","","","","","","","","","","2022/02/17 17:12:47.222","CUSTOMIZED_USER","2022/02/17 17:14:38.712","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","MXM","115","","","","","","","","REG 316.402(A). TEMPORARY APPT.","Y","","","","","","","","","","","","2022/02/17 17:12:47.276","CUSTOMIZED_USER","2022/02/17 17:14:38.856","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","NAM","115","","","","","","","","Reg 316.402(b)(7).  Temp appt (prior temp service).","Y","","","","","","","","","","","","2022/02/17 17:12:47.316","CUSTOMIZED_USER","2022/02/17 17:14:39.004","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","NCM","115","","","","","","","","REG 316.402(B)(2). TEMP APPT (VRA ELIGIBILITY).","Y","","","","","","","","","","","","2022/02/17 17:12:47.365","CUSTOMIZED_USER","2022/02/17 17:14:39.192","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","NEM","115","","","","","","","","REG 316.402(B)(4). TEMP APPT (30%+ DISABLED VET).","Y","","","","","","","","","","","","2022/02/17 17:12:47.415","CUSTOMIZED_USER","2022/02/17 17:14:39.332","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","NJM","115","","","","","","","","REG 316.701. TEMP APPT--GOVT TAKEOVER.","Y","","","","","","","","","","","","2022/02/17 17:12:47.457","CUSTOMIZED_USER","2022/02/17 17:14:39.482","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
"FED_LEGAL_AUTH","NUM","115","","","","","","","","REG 330.207. APPT FROM RPL.","Y","","","","","","","","","","","","2022/02/17 17:12:47.499","CUSTOMIZED_USER","2022/02/17 17:14:39.62","CUSTOMIZED_USER","D7C9D6F9D8D73168E0530264FD0A280C"
